Name,Year,Duration,Rating,MetaScore,Vote,Gross
Mandy,2018,121,6.6,81,33138,1214525
O Mecanismo,2018,41,8.8,Unknown,33132,Unknown
Fist Fight,2017,91,5.6,37,33066,32187017
Extinction,2018,95,5.8,40,33050,Unknown
Jungle,2017,115,6.7,48,33003,Unknown
War Machine,2017,122,6.0,56,32990,Unknown
Black Mirror,2011,76,8.3,Unknown,32956,Unknown
The Christmas Chronicles,2018,104,7.1,52,32913,Unknown
Tully,2018,95,7.0,75,32872,9227130
Rings,2017,102,4.5,25,32699,27780085
Alpha,2018,96,6.7,63,32577,35851379
Krym,2017,99,7.2,Unknown,32449,Unknown
1922,2017,102,6.3,70,32321,Unknown
I Feel Pretty,2018,110,5.4,48,32259,48795601
Atypical,2017,30,8.4,Unknown,32236,Unknown
Johnny English Strikes Again,2018,89,6.3,39,32131,4280890
How It Ends,2018,113,5.0,36,32006,Unknown
Manhunt: Unabomber,2017,60,8.2,Unknown,31916,Unknown
Black Mirror,2011,51,8.8,Unknown,31731,Unknown
Flatliners,2017,109,5.2,27,31535,16866403
A Wrinkle in Time,2018,109,4.2,53,31409,100478608
Mudbound,2017,134,7.4,85,31402,Unknown
Game of Thrones,2011,63,9.3,Unknown,31394,Unknown
When We First Met,2018,97,6.4,36,31341,Unknown
Big Mouth,2017,30,8.1,Unknown,30982,Unknown
The House,2017,88,5.6,30,30924,25481529
Stronger,2017,119,7.0,76,30695,4211129
A Bad Moms Christmas,2017,104,5.5,42,30644,72110659
Bumblebee,2018,114,7.3,67,30610,100952564
Game of Thrones,2011,59,9.0,Unknown,30258,Unknown
To the Bone,2017,107,6.9,64,30252,Unknown
Game of Thrones,2011,59,9.0,Unknown,29456,Unknown
Sorry to Bother You,2018,111,7.0,80,29363,17493096
The Zookeeper's Wife,2017,127,7.0,57,29263,17445186
Suburbicon,2017,105,5.6,42,29039,5775178
Snatched,2017,90,4.5,45,28692,45825314
GLOW,2017,35,8.1,Unknown,28379,Unknown
Adrift,2018,96,6.6,56,28359,31445012
Truth or Dare,2018,100,5.1,35,28325,40717020
The Meyerowitz Stories (New and Selected),2017,112,6.9,79,28185,Unknown
Race 3,2018,160,2.1,Unknown,27839,1690861
Set It Up,2018,105,6.5,62,27789,Unknown
Girls Trip,2017,122,6.2,71,27720,115108515
Andhadhun,2018,139,8.8,Unknown,27698,1193046
Kidnap,2017,95,5.9,44,27473,30718107
Eighth Grade,2018,93,7.5,90,27418,13539709
Unsane,2018,98,6.4,63,27121,7732899
Verónica,2017,105,6.2,Unknown,26769,Unknown
Creed II,2018,130,7.7,66,26575,114545024
Cobra Kai,2018,30,8.9,Unknown,26016,Unknown
Icarus,2017,120,7.9,68,25979,Unknown
Black Mirror,2011,52,7.3,Unknown,25948,Unknown
Killing Eve,2018,43,8.3,Unknown,25616,Unknown
Widows,2018,129,7.4,84,25526,42150649
Anon,2018,100,6.1,54,25308,Unknown
Ingrid Goes West,2017,98,6.6,71,25256,3024308
Mary Poppins Returns,2018,130,7.2,66,24939,142558412
Peppermint,2018,101,6.5,29,24730,35418723
Peter Rabbit,2018,95,6.6,51,24720,115253424
"Everything, Everything",2017,96,6.4,52,24553,34000284
The Gifted,2017,43,7.6,Unknown,24420,Unknown
The Shack,2017,132,6.3,32,24250,57330873
Ayla: The Daughter of War,2017,125,8.8,Unknown,24223,Unknown
Disenchantment,2018,30,7.2,Unknown,24091,Unknown
Sleepless,2017,95,5.6,34,24087,20757977
Black Mirror,2011,59,7.3,Unknown,23989,Unknown
The Alienist,2018,60,7.8,Unknown,23985,Unknown
Arif v 216,2018,125,7.5,Unknown,23737,Unknown
Cargo,2017,105,6.3,65,23707,Unknown
The Terror,2018,60,8.1,Unknown,23640,Unknown
Black Mirror,2011,69,8.7,Unknown,23512,Unknown
Victoria & Abdul,2017,111,6.8,58,23443,22245070
Hotel Artemis,2018,94,6.1,58,23425,6708147
Leave No Trace,2018,109,7.2,88,23368,6046104
Mute,2018,126,5.4,35,23354,Unknown
The Discovery,2017,102,6.3,54,23339,Unknown
American Animals,2018,116,7.0,68,23196,2856954
The House with a Clock in Its Walls,2018,105,6.1,57,23131,68549695
The Open House,2018,94,3.3,Unknown,22729,Unknown
Apostle,2018,130,6.3,62,22705,Unknown
Revenge,2017,108,6.3,81,22440,102091
Nada a Perder,2018,134,6.7,Unknown,22426,1003497
Narcos: Mexico,2018,50,8.5,Unknown,22407,Unknown
Sherlock,2010,89,9.2,Unknown,22207,Unknown
What the Health,2017,97,7.8,Unknown,22154,Unknown
Hold the Dark,2018,125,5.7,63,22002,Unknown
Black Mirror,2011,41,6.7,Unknown,21912,Unknown
The Ottoman Lieutenant,2017,106,6.7,26,21911,Unknown
The Titan,2018,97,4.8,33,21889,Unknown
Kaabil,2017,139,7.1,Unknown,21760,Unknown
Unlocked,2017,98,6.2,46,21733,Unknown
Thoroughbreds,2017,92,6.8,75,21729,2830775
Sierra Burgess Is a Loser,2018,105,6.0,60,21725,Unknown
Table 19,2017,87,5.8,40,21654,3606977
Nelyubov,2017,127,7.7,86,21645,566356
First Reformed,2017,113,7.1,85,21622,3448256
